,update steps,smooth loss
0,0,110.47101677085772
1,100,107.63047661587058
2,200,104.76652587063522
3,300,101.84526769661785
4,400,99.03843157346088
5,500,96.7456416563688
6,600,94.4947700407789
7,700,92.35353891205745
8,800,90.10492995145036
9,900,88.16988702492894
10,1000,86.23250203565527
11,1100,84.37837139564941
12,1200,82.76209534087916
13,1300,81.1600626534231
14,1400,79.90141580383136
15,1500,78.44079836237222
16,1600,77.38373579061563
17,1700,76.33398834728517
18,1800,75.31232834856031
19,1900,74.45367535209672
20,2000,73.61059189706586
21,2100,72.72177192430328
22,2200,71.91279804908812
23,2300,71.26167457941962
24,2400,70.64759574657984
25,2500,69.99934668102294
26,2600,69.6557216012643
27,2700,69.17332275136309
28,2800,68.65183554861774
29,2900,68.12402349209664
30,3000,67.66344697192544
31,3100,67.2947857479687
32,3200,67.03526091489404
33,3300,66.7496175218129
34,3400,66.39382258514765
35,3500,66.00736495664907
36,3600,65.5052186747545
37,3700,65.29357685732437
38,3800,65.19329457528903
39,3900,64.91393548302574
40,4000,64.65712774170495
41,4100,64.57275628644464
42,4200,64.30191003150222
43,4300,64.13865068398371
44,4400,64.04304190229034
45,4500,63.94245881151621
46,4600,63.87693769500622
47,4700,63.74863397573061
48,4800,63.504338533360645
49,4900,63.37196126648457
50,5000,63.216434049007766
51,5100,62.9896446596514
52,5200,62.94199383618496
53,5300,62.982346174806125
54,5400,63.03244459563132
55,5500,63.05114355675367
56,5600,62.96456150942917
57,5700,62.867003758376256
58,5800,62.75719994533372
59,5900,62.74124536202198
60,6000,62.611551044265546
61,6100,62.637554818957355
62,6200,62.62154959065025
63,6300,62.511500544880036
64,6400,62.82813861901085
65,6500,62.842657306000206
66,6600,62.900051112740236
67,6700,62.76584897975071
68,6800,62.66319775956751
69,6900,62.7222609973894
70,7000,62.54305203125693
71,7100,62.30497330408892
72,7200,61.963430715898234
73,7300,61.59354893570975
74,7400,61.535070223180014
75,7500,61.438352305019954
76,7600,61.39368685355519
77,7700,61.16621612772918
78,7800,60.94547141775657
79,7900,60.778814237271426
80,8000,60.807211178308634
81,8100,60.81913044653382
82,8200,60.86373182764695
83,8300,60.77941818453599
84,8400,60.59430014485021
85,8500,60.39306106708049
86,8600,60.48915486363193
87,8700,60.387375456830334
88,8800,60.61860582473502
89,8900,60.57161819883999
90,9000,60.56893335780161
